GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Formula1APP,co.com.dao,TemporadaDAO,179,544,9,17,47,123,6,23,0,16
Formula1APP,co.com.dao,CircuitoDAO,134,345,11,17,33,83,8,17,0,11
Formula1APP,co.com.dao,ConstructorDAO,113,351,11,19,27,86,9,16,0,10
Formula1APP,co.com.dao,CarreraDAO,116,314,10,14,30,76,8,14,0,10
Formula1APP,co.com.dao,PilotoDAO,142,427,13,27,36,101,10,22,0,12
Formula1APP,co.com.dao,ResultadoDAO,10,379,1,13,3,84,1,13,0,7
Formula1APP,co.com.simulacion.factory,ResultadoBuilder,0,60,0,0,0,19,0,9,0,9
Formula1APP,co.com.simulacion.factory,CarreraSimuladaFactory,0,28,0,0,0,8,0,2,0,2
Formula1APP,co.com.config,ConfiguracionTemporada,3,29,0,0,1,6,1,6,1,6
Formula1APP,co.com.simulacion.strategy,ProbabilidadStrategy,19,181,5,21,3,39,5,11,0,3
Formula1APP,co.com.model,ResultadoSprint,0,70,0,0,0,31,0,19,0,19
Formula1APP,co.com.model,Temporada,4,60,0,0,2,20,1,10,1,10
Formula1APP,co.com.model,Resultado,32,66,0,0,8,29,3,18,3,18
Formula1APP,co.com.model,Piloto,0,77,0,0,0,27,0,15,0,15
Formula1APP,co.com.model,Carrera,0,103,0,0,0,36,0,19,0,19
Formula1APP,co.com.model,Circuito,0,58,0,0,0,20,0,11,0,11
Formula1APP,co.com.model,Constructor,0,76,0,0,0,26,0,13,0,13
Formula1APP,co.com.constants,F1PointsSystem,3,131,0,8,1,18,1,8,1,4
